FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
041219;0400;;;;
041219;0500;;;;
041219;0600;;;;
041219;0700;;;;
041219;0800;;;;
041219;0900;;;;
041219;1000;47;;;
041219;1100;73;;;
041219;1200;69;;;
041219;1300;66;;;
041219;1400;57;;;
041219;1500;55;;;
041219;1600;50;;;
041219;1700;47;;;
041219;1800;39;;;
041219;1900;28;;;
041219;2000;21;;;
041219;2100;21;;;
041219;2200;17;;;
041219;2300;2;;;
041220;0000;2;;;
041220;0100;1;;;
041220;0200;1;;;
041220;0300;1;;;
041220;0400;1;;;
041220;0500;2;;;
041220;0600;3;;;
041220;0700;6;;;
041220;0800;10;;;
041220;0900;26;;;
041220;1000;54;;;
041220;1100;51;;;
041220;1200;56;;;
041220;1300;55;;;
041220;1400;54;;;
041220;1500;52;;;
041220;1600;47;;;
041220;1700;38;;;
041220;1800;31;;;
041220;1900;24;;;
041220;2000;18;;;
041220;2100;15;;;
041220;2200;14;;;
041220;2300;16;;;
041221;0000;16;;;
041221;0100;2;;;
041221;0200;2;;;
041221;0300;2;;;
041221;0400;2;;;
041221;0500;2;;;
041221;0600;2;;;
041221;0700;5;;;
041221;0800;17;;;
041221;0900;38;;;
041221;1000;60;;;
041221;1100;91;;;
041221;1200;64;;;
041221;1300;65;;;
041221;1400;65;;;
041221;1500;65;;;
041221;1600;58;;;
041221;1700;57;;;
041221;1800;44;;;
041221;1900;30;;;
041221;2000;21;;;
041221;2100;17;;;
041221;2200;16;;;
041221;2300;13;;;
041222;0000;2;;;
041222;0100;1;;;
041222;0200;1;;;
041222;0300;1;;;
041222;0400;1;;;
041222;0500;2;;;
041222;0600;2;;;
041222;0700;4;;;
041222;0800;12;;;
041222;0900;33;;;
041222;1000;52;;;
041222;1100;86;;;
041222;1200;67;;;
041222;1300;72;;;
041222;1400;71;;;
041222;1500;71;;;
041222;1600;65;;;
041222;1700;55;;;
041222;1800;44;;;
041222;1900;31;;;
041222;2000;24;;;
041222;2100;22;;;
041222;2200;21;;;
041222;2300;7;;;
041223;0000;14;;;
041223;0100;6;;;
041223;0200;14;;;
041223;0300;15;;;
041223;0400;10;;;
041223;0500;2;;;
041223;0600;3;;;
041223;0700;4;;;
041223;0800;10;;;
041223;0900;20;;;
041223;1000;27;;;
041223;1100;34;;;
041223;1200;34;;;
041223;1300;31;;;
041223;1400;30;;;
041223;1500;27;;;
041223;1600;23;;;
041223;1700;20;;;
041223;1800;18;;;
041223;1900;13;;;
041223;2000;;;;
041223;2100;;;;
041223;2200;;;;
041223;2300;;;;
041224;0000;;;;
041224;0100;;;;
041224;0200;;;;
041224;0300;;;;
041224;0400;;;;
041224;0500;;;;
041224;0600;;;;
041224;0700;;;;
041224;0800;;;;
041224;0900;26;;;
041224;1000;57;;;
041224;1100;45;;;
041224;1200;42;;;
041224;1300;50;;;
041224;1400;53;;;
041224;1500;50;;;
041224;1600;47;;;
041224;1700;46;;;
041224;1800;38;;;
041224;1900;29;;;
041224;2000;;;;
041224;2100;;;;
041224;2200;;;;
041224;2300;;;;
041225;0000;;;;
041225;0100;;;;
041225;0200;;;;
041225;0300;;;;
041225;0400;;;;
041225;0500;;;;
041225;0600;;;;
041225;0700;;;;
041225;0800;;;;
041225;0900;;;;
041225;1000;;;;
041225;1100;;;;
041225;1200;;;;
041225;1300;;;;
041225;1400;;;;
041225;1500;;;;
041225;1600;;;;
041225;1700;;;;
041225;1800;;;;
041225;1900;;;;
041225;2000;;;;
041225;2100;;;;
041225;2200;;;;
041225;2300;;;;
041226;0000;;;;
041226;0100;;;;
041226;0200;;;;
041226;0300;;;;
041226;0400;;;;
041226;0500;;;;
041226;0600;;;;
041226;0700;;;;
041226;0800;;;;
041226;0900;;;;
041226;1000;55;;;
041226;1100;75;;;
041226;1200;66;;;
041226;1300;55;;;
041226;1400;56;;;
041226;1500;53;;;
041226;1600;48;;;
041226;1700;41;;;
041226;1800;35;;;
041226;1900;27;;;
041226;2000;21;;;
041226;2100;19;;;
041226;2200;17;;;
041226;2300;13;;;
041227;0000;11;;;
041227;0100;12;;;
041227;0200;7;;;
041227;0300;6;;;
041227;0400;2;;;
041227;0500;2;;;
041227;0600;2;;;
041227;0700;4;;;
041227;0800;7;;;
041227;0900;18;;;
041227;1000;31;;;
041227;1100;46;;;
041227;1200;56;;;
041227;1300;46;;;
041227;1400;42;;;
041227;1500;40;;;
041227;1600;40;;;
041227;1700;35;;;
041227;1800;25;;;
041227;1900;20;;;
041227;2000;16;;;
041227;2100;13;;;
041227;2200;17;;;
041227;2300;20;;;
041228;0000;17;;;
041228;0100;17;;;
041228;0200;15;;;
041228;0300;6;;;
041228;0400;3;;;
041228;0500;1;;;
041228;0600;1;;;
041228;0700;2;;;
041228;0800;6;;;
041228;0900;13;;;
041228;1000;19;;;
041228;1100;37;;;
041228;1200;42;;;
041228;1300;46;;;
041228;1400;45;;;
041228;1500;42;;;
041228;1600;39;;;
041228;1700;34;;;
041228;1800;31;;;
041228;1900;26;;;
041228;2000;20;;;
041228;2100;12;;;
041228;2200;2;;;
041228;2300;3;;;
041229;0000;13;;;
041229;0100;10;;;
041229;0200;5;;;
041229;0300;4;;;
041229;0400;3;;;
041229;0500;2;;;
041229;0600;2;;;
041229;0700;5;;;
041229;0800;12;;;
041229;0900;35;;;
041229;1000;65;;;
041229;1100;73;;;
041229;1200;66;;;
041229;1300;72;;;
041229;1400;65;;;
041229;1500;63;;;
041229;1600;56;;;
041229;1700;42;;;
041229;1800;34;;;
041229;1900;22;;;
041229;2000;18;;;
041229;2100;14;;;
041229;2200;8;;;
041229;2300;3;;;
041230;0000;1;;;
041230;0100;2;;;
041230;0200;1;;;
041230;0300;1;;;
041230;0400;1;;;
041230;0500;1;;;
041230;0600;2;;;
041230;0700;4;;;
041230;0800;8;;;
041230;0900;21;;;
041230;1000;38;;;
041230;1100;69;;;
041230;1200;61;;;
041230;1300;57;;;
041230;1400;52;;;
041230;1500;51;;;
041230;1600;46;;;
041230;1700;35;;;
041230;1800;24;;;
041230;1900;16;;;
041230;2000;11;;;
041230;2100;7;;;
041230;2200;6;;;
041230;2300;3;;;
041231;0000;4;;;
041231;0100;1;;;
041231;0200;1;;;
041231;0300;1;;;
041231;0400;1;;;
041231;0500;1;;;
041231;0600;2;;;
041231;0700;3;;;
041231;0800;6;;;
041231;0900;18;;;
041231;1000;33;;;
041231;1100;58;;;
041231;1200;61;;;
041231;1300;57;;;
041231;1400;54;;;
041231;1500;53;;;
041231;1600;48;;;
041231;1700;39;;;
041231;1800;30;;;
041231;1900;18;;;
041231;2000;;;;
041231;2100;;;;
041231;2200;;;;
041231;2300;;;;
050101;0000;;;;
050101;0100;;;;
050101;0200;;;;
050101;0300;;;;
050101;0400;;;;
050101;0500;;;;
050101;0600;;;;
050101;0700;;;;
050101;0800;;;;
050101;0900;;;;
050101;1000;;;;
050101;1100;;;;
050101;1200;;;;
050101;1300;;;;
050101;1400;;;;
050101;1500;;;;
050101;1600;;;;
050101;1700;;;;
050101;1800;;;;
050101;1900;;;;
050101;2000;;;;
050101;2100;;;;
050101;2200;;;;
050101;2300;;;;
050102;0000;;;;
050102;0100;;;;
050102;0200;;;;
050102;0300;;;;
050102;0400;;;;
050102;0500;;;;
050102;0600;;;;
050102;0700;;;;
050102;0800;;;;
050102;0900;;;;
050102;1000;;;;
050102;1100;40;;;
050102;1200;39;;;
050102;1300;45;;;
050102;1400;46;;;
050102;1500;44;;;
050102;1600;44;;;
050102;1700;43;;;
050102;1800;41;;;
050102;1900;28;;;
050102;2000;13;;;
050102;2100;8;;;
050102;2200;12;;;
050102;2300;9;;;
050103;0000;11;;;
050103;0100;6;;;
050103;0200;3;;;
050103;0300;4;;;
050103;0400;3;;;
050103;0500;1;;;
050103;0600;3;;;
050103;0700;4;;;
050103;0800;12;;;
050103;0900;33;;;
050103;1000;54;;;
050103;1100;93;;;
050103;1200;80;;;
050103;1300;67;;;
050103;1400;57;;;
050103;1500;55;;;
050103;1600;45;;;
050103;1700;38;;;
050103;1800;34;;;
050103;1900;28;;;
050103;2000;19;;;
050103;2100;19;;;
050103;2200;6;;;
050103;2300;1;;;
050104;0000;1;;;
050104;0100;1;;;
050104;0200;1;;;
050104;0300;1;;;
050104;0400;1;;;
050104;0500;1;;;
050104;0600;2;;;
050104;0700;4;;;
050104;0800;10;;;
050104;0900;24;;;
050104;1000;45;;;
050104;1100;46;;;
050104;1200;45;;;
050104;1300;43;;;
050104;1400;44;;;
050104;1500;45;;;
050104;1600;44;;;
050104;1700;40;;;
050104;1800;34;;;
050104;1900;24;;;
050104;2000;16;;;
050104;2100;13;;;
050104;2200;13;;;
050104;2300;13;;;
050105;0000;13;;;
050105;0100;8;;;
050105;0200;12;;;
050105;0300;6;;;
050105;0400;1;;;
050105;0500;1;;;
050105;0600;2;;;
050105;0700;7;;;
050105;0800;15;;;
050105;0900;29;;;
050105;1000;51;;;
050105;1100;52;;;
050105;1200;50;;;
050105;1300;49;;;
050105;1400;50;;;
050105;1500;49;;;
050105;1600;51;;;
050105;1700;44;;;
050105;1800;32;;;
050105;1900;18;;;
050105;2000;8;;;
050105;2100;6;;;
050105;2200;3;;;
050105;2300;2;;;
050106;0000;1;;;
050106;0100;1;;;
050106;0200;1;;;
050106;0300;2;;;
050106;0400;3;;;
050106;0500;1;;;
050106;0600;2;;;
050106;0700;5;;;
050106;0800;12;;;
050106;0900;25;;;
050106;1000;42;;;
050106;1100;73;;;
050106;1200;57;;;
050106;1300;59;;;
050106;1400;61;;;
050106;1500;53;;;
050106;1600;45;;;
050106;1700;39;;;
050106;1800;35;;;
050106;1900;27;;;
050106;2000;20;;;
050106;2100;17;;;
050106;2200;13;;;
050106;2300;6;;;
050107;0000;3;;;
050107;0100;2;;;
050107;0200;2;;;
050107;0300;2;;;
050107;0400;1;;;
050107;0500;2;;;
050107;0600;2;;;
050107;0700;4;;;
050107;0800;18;;;
050107;0900;46;;;
050107;1000;75;;;
050107;1100;82;;;
050107;1200;69;;;
050107;1300;81;;;
050107;1400;69;;;
050107;1500;58;;;
050107;1600;51;;;
050107;1700;54;;;
050107;1800;46;;;
050107;1900;34;;;
050107;2000;27;;;
050107;2100;26;;;
050107;2200;21;;;
050107;2300;15;;;
050108;0000;14;;;
050108;0100;9;;;
050108;0200;2;;;
050108;0300;1;;;
050108;0400;1;;;
050108;0500;1;;;
050108;0600;2;;;
050108;0700;4;;;
050108;0800;12;;;
050108;0900;33;;;
050108;1000;65;;;
050108;1100;73;;;
050108;1200;67;;;
050108;1300;74;;;
050108;1400;69;;;
050108;1500;66;;;
050108;1600;61;;;
050108;1700;50;;;
050108;1800;43;;;
050108;1900;31;;;
050108;2000;19;;;
050108;2100;12;;;
050108;2200;9;;;
050108;2300;8;;;
050109;0000;6;;;
050109;0100;1;;;
050109;0200;1;;;
050109;0300;1;;;
050109;0400;1;;;
050109;0500;2;;;
050109;0600;3;;;
050109;0700;7;;;
050109;0800;23;;;
050109;0900;46;;;
050109;1000;74;;;
050109;1100;75;;;
050109;1200;56;;;
050109;1300;61;;;
050109;1400;64;;;
050109;1500;63;;;
050109;1600;61;;;
050109;1700;50;;;
050109;1800;40;;;
050109;1900;27;;;
050109;2000;18;;;
050109;2100;13;;;
050109;2200;11;;;
050109;2300;13;;;
050110;0000;11;;;
050110;0100;7;;;
050110;0200;6;;;
050110;0300;6;;;
050110;0400;4;;;
050110;0500;1;;;
050110;0600;2;;;
050110;0700;6;;;
050110;0800;16;;;
050110;0900;27;;;
050110;1000;51;;;
050110;1100;56;;;
050110;1200;55;;;
050110;1300;51;;;
050110;1400;51;;;
050110;1500;52;;;
050110;1600;50;;;
050110;1700;47;;;
050110;1800;40;;;
050110;1900;31;;;
050110;2000;21;;;
050110;2100;17;;;
050110;2200;13;;;
050110;2300;14;;;
050111;0000;13;;;
050111;0100;4;;;
050111;0200;3;;;
050111;0300;1;;;
050111;0400;1;;;
050111;0500;2;;;
050111;0600;2;;;
050111;0700;4;;;
050111;0800;17;;;
050111;0900;28;;;
050111;1000;65;;;
050111;1100;66;;;
050111;1200;63;;;
050111;1300;59;;;
050111;1400;57;;;
050111;1500;61;;;
050111;1600;60;;;
050111;1700;54;;;
050111;1800;48;;;
050111;1900;38;;;
050111;2000;25;;;
050111;2100;17;;;
050111;2200;17;;;
050111;2300;17;;;
050112;0000;7;;;
050112;0100;4;;;
050112;0200;4;;;
050112;0300;3;;;
050112;0400;1;;;
050112;0500;1;;;
050112;0600;2;;;
050112;0700;3;;;
050112;0800;9;;;
050112;0900;23;;;
050112;1000;40;;;
050112;1100;74;;;
050112;1200;62;;;
050112;1300;62;;;
050112;1400;61;;;
050112;1500;64;;;
050112;1600;66;;;
050112;1700;56;;;
050112;1800;45;;;
050112;1900;32;;;
050112;2000;20;;;
050112;2100;14;;;
050112;2200;5;;;
050112;2300;6;;;
050113;0000;22;;;
050113;0100;19;;;
050113;0200;14;;;
050113;0300;7;;;
050113;0400;3;;;
050113;0500;1;;;
050113;0600;3;;;
050113;0700;5;;;
050113;0800;15;;;
050113;0900;41;;;
050113;1000;56;;;
050113;1100;72;;;
050113;1200;68;;;
050113;1300;64;;;
050113;1400;60;;;
050113;1500;56;;;
050113;1600;53;;;
050113;1700;49;;;
050113;1800;40;;;
050113;1900;27;;;
050113;2000;19;;;
050113;2100;19;;;
050113;2200;11;;;
050113;2300;5;;;
050114;0000;10;;;
050114;0100;15;;;
050114;0200;18;;;
050114;0300;16;;;
050114;0400;11;;;
050114;0500;2;;;
050114;0600;5;;;
050114;0700;6;;;
050114;0800;9;;;
050114;0900;16;;;
050114;1000;25;;;
050114;1100;36;;;
050114;1200;46;;;
050114;1300;38;;;
050114;1400;30;;;
050114;1500;33;;;
050114;1600;32;;;
050114;1700;28;;;
050114;1800;25;;;
050114;1900;21;;;
050114;2000;11;;;
050114;2100;11;;;
050114;2200;10;;;
050114;2300;10;;;
050115;0000;9;;;
050115;0100;3;;;
050115;0200;3;;;
050115;0300;1;;;
050115;0400;1;;;
050115;0500;1;;;
050115;0600;2;;;
050115;0700;6;;;
050115;0800;14;;;
050115;0900;23;;;
050115;1000;36;;;
050115;1100;56;;;
050115;1200;84;;;
050115;1300;69;;;
050115;1400;66;;;
050115;1500;60;;;
050115;1600;61;;;
050115;1700;58;;;
050115;1800;50;;;
050115;1900;38;;;
050115;2000;25;;;
050115;2100;21;;;
050115;2200;19;;;
050115;2300;17;;;
050116;0000;19;;;
050116;0100;19;;;
050116;0200;10;;;
050116;0300;2;;;
050116;0400;1;;;
050116;0500;2;;;
050116;0600;2;;;
050116;0700;6;;;
050116;0800;25;;;
050116;0900;46;;;
050116;1000;61;;;
050116;1100;80;;;
050116;1200;79;;;
050116;1300;67;;;
050116;1400;64;;;
050116;1500;64;;;
050116;1600;57;;;
050116;1700;50;;;
050116;1800;45;;;
050116;1900;39;;;
050116;2000;31;;;
050116;2100;26;;;
050116;2200;21;;;
050116;2300;18;;;
050117;0000;17;;;
050117;0100;15;;;
050117;0200;12;;;
050117;0300;6;;;
050117;0400;7;;;
050117;0500;2;;;
050117;0600;2;;;
050117;0700;4;;;
050117;0800;13;;;
050117;0900;23;;;
050117;1000;40;;;
050117;1100;52;;;
050117;1200;69;;;
050117;1300;62;;;
050117;1400;57;;;
050117;1500;57;;;
050117;1600;54;;;
050117;1700;50;;;
050117;1800;42;;;
050117;1900;32;;;
050117;2000;26;;;
050117;2100;24;;;
050117;2200;20;;;
050117;2300;22;;;
050118;0000;18;;;
050118;0100;18;;;
050118;0200;12;;;
050118;0300;7;;;
050118;0400;2;;;
050118;0500;1;;;
050118;0600;2;;;
050118;0700;3;;;
050118;0800;9;;;
050118;0900;25;;;
050118;1000;37;;;
050118;1100;58;;;
050118;1200;61;;;
050118;1300;54;;;
050118;1400;52;;;
050118;1500;54;;;
050118;1600;53;;;
050118;1700;44;;;
050118;1800;39;;;
050118;1900;29;;;
050118;2000;23;;;
050118;2100;19;;;
050118;2200;17;;;
050118;2300;14;;;
050119;0000;4;;;
050119;0100;1;;;
050119;0200;2;;;
050119;0300;1;;;
050119;0400;1;;;
050119;0500;1;;;
050119;0600;2;;;
050119;0700;3;;;
050119;0800;10;;;
050119;0900;24;;;
050119;1000;45;;;
050119;1100;74;;;
050119;1200;76;;;
050119;1300;64;;;
050119;1400;60;;;
050119;1500;56;;;
050119;1600;50;;;
050119;1700;44;;;
050119;1800;40;;;
050119;1900;35;;;
050119;2000;25;;;
050119;2100;22;;;
050119;2200;12;;;
050119;2300;15;;;
050120;0000;5;;;
050120;0100;4;;;
050120;0200;1;;;
050120;0300;2;;;
050120;0400;1;;;
050120;0500;1;;;
050120;0600;2;;;
050120;0700;4;;;
050120;0800;14;;;
050120;0900;32;;;
050120;1000;37;;;
050120;1100;48;;;
050120;1200;54;;;
050120;1300;52;;;
050120;1400;53;;;
050120;1500;53;;;
050120;1600;50;;;
050120;1700;44;;;
050120;1800;36;;;
050120;1900;29;;;
050120;2000;21;;;
050120;2100;17;;;
050120;2200;15;;;
050120;2300;13;;;
050121;0000;15;;;
050121;0100;15;;;
050121;0200;12;;;
050121;0300;11;;;
050121;0400;9;;;
050121;0500;4;;;
050121;0600;6;;;
050121;0700;9;;;
050121;0800;11;;;
050121;0900;17;;;
050121;1000;30;;;
050121;1100;48;;;
050121;1200;51;;;
050121;1300;51;;;
050121;1400;51;;;
050121;1500;52;;;
050121;1600;45;;;
050121;1700;36;;;
050121;1800;28;;;
050121;1900;20;;;
050121;2000;16;;;
050121;2100;11;;;
050121;2200;10;;;
050121;2300;12;;;
050122;0000;13;;;
050122;0100;12;;;
050122;0200;11;;;
050122;0300;7;;;
050122;0400;2;;;
050122;0500;2;;;
050122;0600;2;;;
050122;0700;4;;;
050122;0800;12;;;
050122;0900;29;;;
050122;1000;52;;;
050122;1100;71;;;
050122;1200;72;;;
050122;1300;56;;;
050122;1400;46;;;
050122;1500;47;;;
050122;1600;52;;;
050122;1700;46;;;
050122;1800;38;;;
050122;1900;32;;;
050122;2000;23;;;
050122;2100;19;;;
050122;2200;16;;;
050122;2300;17;;;
050123;0000;14;;;
050123;0100;3;;;
050123;0200;2;;;
050123;0300;2;;;
050123;0400;1;;;
050123;0500;1;;;
050123;0600;2;;;
050123;0700;5;;;
050123;0800;21;;;
050123;0900;33;;;
050123;1000;63;;;
050123;1100;65;;;
050123;1200;57;;;
050123;1300;53;;;
050123;1400;51;;;
050123;1500;48;;;
050123;1600;45;;;
050123;1700;42;;;
050123;1800;37;;;
050123;1900;30;;;
050123;2000;27;;;
050123;2100;22;;;
050123;2200;21;;;
050123;2300;18;;;
050124;0000;4;;;
050124;0100;1;;;
050124;0200;1;;;
050124;0300;1;;;
050124;0400;1;;;
050124;0500;1;;;
050124;0600;2;;;
050124;0700;3;;;
050124;0800;10;;;
050124;0900;24;;;
050124;1000;54;;;
050124;1100;56;;;
050124;1200;61;;;
050124;1300;64;;;
050124;1400;60;;;
050124;1500;59;;;
050124;1600;55;;;
050124;1700;48;;;
050124;1800;40;;;
050124;1900;29;;;
050124;2000;17;;;
050124;2100;12;;;
050124;2200;7;;;
050124;2300;3;;;
050125;0000;3;;;
050125;0100;2;;;
050125;0200;1;;;
050125;0300;1;;;
050125;0400;1;;;
050125;0500;1;;;
050125;0600;2;;;
050125;0700;4;;;
050125;0800;10;;;
050125;0900;20;;;
050125;1000;45;;;
050125;1100;61;;;
050125;1200;64;;;
050125;1300;62;;;
050125;1400;58;;;
050125;1500;53;;;
050125;1600;48;;;
050125;1700;42;;;
050125;1800;38;;;
050125;1900;32;;;
050125;2000;25;;;
050125;2100;18;;;
050125;2200;22;;;
050125;2300;20;;;
050126;0000;15;;;
050126;0100;17;;;
050126;0200;20;;;
050126;0300;22;;;
050126;0400;13;;;
050126;0500;5;;;
050126;0600;3;;;
050126;0700;6;;;
050126;0800;17;;;
050126;0900;24;;;
050126;1000;42;;;
050126;1100;57;;;
050126;1200;58;;;
050126;1300;49;;;
050126;1400;48;;;
050126;1500;49;;;
050126;1600;41;;;
050126;1700;36;;;
050126;1800;33;;;
050126;1900;26;;;
050126;2000;21;;;
050126;2100;16;;;
050126;2200;15;;;
050126;2300;14;;;
050127;0000;14;;;
050127;0100;13;;;
050127;0200;10;;;
050127;0300;7;;;
050127;0400;12;;;
050127;0500;6;;;
050127;0600;4;;;
050127;0700;4;;;
050127;0800;6;;;
050127;0900;11;;;
050127;1000;19;;;
050127;1100;39;;;
050127;1200;71;;;
050127;1300;56;;;
050127;1400;51;;;
050127;1500;49;;;
050127;1600;44;;;
050127;1700;40;;;
050127;1800;29;;;
050127;1900;18;;;
050127;2000;14;;;
050127;2100;16;;;
050127;2200;12;;;
050127;2300;12;;;
050128;0000;12;;;
050128;0100;9;;;
050128;0200;2;;;
050128;0300;1;;;
050128;0400;1;;;
050128;0500;1;;;
050128;0600;2;;;
050128;0700;3;;;
050128;0800;11;;;
050128;0900;20;;;
050128;1000;36;;;
050128;1100;59;;;
050128;1200;62;;;
050128;1300;59;;;
050128;1400;62;;;
050128;1500;56;;;
050128;1600;49;;;
050128;1700;42;;;
050128;1800;36;;;
050128;1900;22;;;
050128;2000;15;;;
050128;2100;12;;;
050128;2200;13;;;
050128;2300;8;;;
050129;0000;8;;;
050129;0100;8;;;
050129;0200;7;;;
050129;0300;3;;;
050129;0400;3;;;
050129;0500;2;;;
050129;0600;3;;;
050129;0700;3;;;
050129;0800;10;;;
050129;0900;16;;;
050129;1000;21;;;
050129;1100;24;;;
050129;1200;23;;;
050129;1300;22;;;
050129;1400;21;;;
050129;1500;20;;;
050129;1600;18;;;
050129;1700;18;;;
050129;1800;18;;;
050129;1900;15;;;
050129;2000;13;;;
050129;2100;12;;;
050129;2200;12;;;
050129;2300;12;;;
050130;0000;14;;;
050130;0100;12;;;
050130;0200;13;;;
050130;0300;10;;;
050130;0400;6;;;
050130;0500;5;;;
050130;0600;7;;;
050130;0700;8;;;
050130;0800;12;;;
050130;0900;18;;;
050130;1000;24;;;
050130;1100;27;;;
050130;1200;27;;;
050130;1300;30;;;
050130;1400;31;;;
050130;1500;29;;;
050130;1600;27;;;
050130;1700;23;;;
050130;1800;20;;;
050130;1900;18;;;
050130;2000;13;;;
050130;2100;11;;;
050130;2200;6;;;
050130;2300;4;;;
050131;0000;1;;;
050131;0100;2;;;
050131;0200;3;;;
050131;0300;3;;;
050131;0400;1;;;
050131;0500;1;;;
050131;0600;2;;;
050131;0700;3;;;
050131;0800;8;;;
050131;0900;17;;;
050131;1000;28;;;
050131;1100;37;;;
050131;1200;35;;;
050131;1300;45;;;
050131;1400;46;;;
050131;1500;46;;;
050131;1600;46;;;
050131;1700;45;;;
050131;1800;42;;;
050131;1900;34;;;
050131;2000;9;;;
050131;2100;1;;;
050131;2200;1;;;
050131;2300;1;;;
050201;0000;1;;;
050201;0100;1;;;
050201;0200;1;;;
050201;0300;1;;;
050201;0400;1;;;
050201;0500;1;;;
050201;0600;2;;;
050201;0700;2;;;
050201;0800;10;;;
050201;0900;23;;;
050201;1000;29;;;
050201;1100;54;;;
050201;1200;69;;;
050201;1300;81;;;
050201;1400;78;;;
050201;1500;73;;;
050201;1600;68;;;
050201;1700;74;;;
050201;1800;68;;;
050201;1900;48;;;
050201;2000;32;;;
050201;2100;23;;;
050201;2200;13;;;
050201;2300;2;;;
050202;0000;2;;;
050202;0100;1;;;
050202;0200;2;;;
050202;0300;2;;;
050202;0400;1;;;
050202;0500;1;;;
050202;0600;2;;;
050202;0700;2;;;
050202;0800;6;;;
050202;0900;22;;;
050202;1000;43;;;
050202;1100;61;;;
050202;1200;78;;;
050202;1300;83;;;
050202;1400;85;;;
050202;1500;78;;;
050202;1600;68;;;
050202;1700;54;;;
050202;1800;46;;;
050202;1900;43;;;
050202;2000;38;;;
050202;2100;31;;;
050202;2200;26;;;
050202;2300;21;;;
050203;0000;12;;;
050203;0100;9;;;
050203;0200;6;;;
050203;0300;4;;;
050203;0400;5;;;
050203;0500;1;;;
050203;0600;1;;;
050203;0700;2;;;
050203;0800;8;;;
050203;0900;24;;;
050203;1000;48;;;
050203;1100;64;;;
050203;1200;63;;;
050203;1300;51;;;
050203;1400;53;;;
050203;1500;55;;;
050203;1600;52;;;
050203;1700;46;;;
050203;1800;39;;;
050203;1900;27;;;
050203;2000;23;;;
050203;2100;24;;;
050203;2200;22;;;
050203;2300;17;;;
050204;0000;14;;;
050204;0100;16;;;
050204;0200;11;;;
050204;0300;8;;;
050204;0400;2;;;
050204;0500;1;;;
050204;0600;1;;;
050204;0700;3;;;
050204;0800;7;;;
050204;0900;19;;;
050204;1000;58;;;
050204;1100;73;;;
050204;1200;73;;;
050204;1300;73;;;
050204;1400;66;;;
050204;1500;61;;;
050204;1600;59;;;
050204;1700;54;;;
050204;1800;46;;;
050204;1900;34;;;
050204;2000;24;;;
050204;2100;27;;;
050204;2200;23;;;
050204;2300;17;;;
050205;0000;20;;;
050205;0100;20;;;
050205;0200;7;;;
050205;0300;7;;;
050205;0400;6;;;
050205;0500;1;;;
050205;0600;3;;;
050205;0700;6;;;
050205;0800;11;;;
050205;0900;25;;;
050205;1000;41;;;
050205;1100;55;;;
050205;1200;63;;;
050205;1300;65;;;
050205;1400;57;;;
050205;1500;57;;;
050205;1600;57;;;
050205;1700;52;;;
050205;1800;43;;;
050205;1900;35;;;
050205;2000;29;;;
050205;2100;27;;;
050205;2200;27;;;
050205;2300;26;;;
050206;0000;24;;;
050206;0100;24;;;
050206;0200;19;;;
050206;0300;20;;;
050206;0400;17;;;
050206;0500;13;;;
050206;0600;12;;;
050206;0700;11;;;
050206;0800;18;;;
050206;0900;25;;;
050206;1000;45;;;
050206;1100;61;;;
050206;1200;61;;;
050206;1300;57;;;
050206;1400;52;;;
050206;1500;50;;;
050206;1600;47;;;
050206;1700;42;;;
050206;1800;37;;;
050206;1900;30;;;
050206;2000;21;;;
050206;2100;18;;;
050206;2200;20;;;
050206;2300;16;;;
050207;0000;20;;;
050207;0100;19;;;
050207;0200;13;;;
050207;0300;11;;;
050207;0400;6;;;
050207;0500;1;;;
050207;0600;2;;;
050207;0700;3;;;
050207;0800;8;;;
050207;0900;21;;;
050207;1000;39;;;
050207;1100;45;;;
050207;1200;49;;;
050207;1300;50;;;
050207;1400;46;;;
050207;1500;45;;;
050207;1600;41;;;
050207;1700;31;;;
050207;1800;27;;;
050207;1900;23;;;
050207;2000;17;;;
050207;2100;16;;;
050207;2200;15;;;
050207;2300;14;;;
050208;0000;17;;;
050208;0100;13;;;
050208;0200;14;;;
050208;0300;4;;;
050208;0400;2;;;
050208;0500;1;;;
050208;0600;2;;;
050208;0700;3;;;
050208;0800;11;;;
050208;0900;22;;;
050208;1000;44;;;
050208;1100;67;;;
050208;1200;112;;;
050208;1300;101;;;
050208;1400;73;;;
050208;1500;58;;;
050208;1600;62;;;
050208;1700;55;;;
050208;1800;44;;;
050208;1900;32;;;
050208;2000;29;;;
050208;2100;26;;;
050208;2200;19;;;
050208;2300;6;;;
050209;0000;1;;;
050209;0100;1;;;
050209;0200;1;;;
050209;0300;1;;;
050209;0400;1;;;
050209;0500;2;;;
050209;0600;2;;;
050209;0700;2;;;
050209;0800;8;;;
050209;0900;20;;;
050209;1000;44;;;
050209;1100;74;;;
050209;1200;90;;;
050209;1300;75;;;
050209;1400;74;;;
050209;1500;58;;;
050209;1600;60;;;
050209;1700;55;;;
050209;1800;43;;;
050209;1900;34;;;
050209;2000;27;;;
050209;2100;23;;;
050209;2200;19;;;
050209;2300;24;;;
050210;0000;16;;;
050210;0100;14;;;
050210;0200;7;;;
050210;0300;2;;;
050210;0400;2;;;
050210;0500;1;;;
050210;0600;1;;;
050210;0700;3;;;
050210;0800;9;;;
